Crop,Season,State,Year,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Maize,Kharif,Haryana,2015,343083,1216779.67,858.03,158.92,1.0604,3.5466
Wheat,Rabi,Uttarakhand,2009,514860,3476710.65,579.3,169.01,4.2285,6.7527
Wheat,Rabi,Rajasthan,2009,1162313,4314343.94,496.32,247.66,5.5212,3.7119
Rice,Kharif,Assam,2006,1809904,3635493.26,890.02,97.96,4.7495,2.0087
Maize,Kharif,Andhra Pradesh,2017,137126,797466.63,816.38,129.49,1.8106,5.8156
Maize,Kharif,Maharashtra,2003,12096,36272.16,1159.06,106.54,4.4933,2.9987
Maize,Kharif,Assam,2008,141659,481841.05,1121.59,129.32,0.4079,3.4014
Maize,Rabi,Maharashtra,2002,763414,2264694.17,417.42,97.99,0.4199,2.9665
Rice,Kharif,Andhra Pradesh,2020,1106713,5693741.1,1567.23,151.98,7.8606,5.1447
Rice,Kharif,West Bengal,2011,1540563,4710743.31,1300.18,108.34,7.8368,3.0578
Maize,Kharif,Rajasthan,2017,518321,2342486.41,985.37,115.86,1.4748,4.5194
Maize,Rabi,Rajasthan,2015,49283,216179.57,1171.03,123.44,0.5314,4.3865
Maize,Kharif,Madhya Pradesh,2009,647053,2651338.28,857.31,163.38,0.8709,4.0976
Rice,Kharif,Jharkhand,2014,2229446,5336653.11,1315.74,129.4,3.0709,2.3937
Maize,Kharif,Odisha,1998,357737,1004163.42,422.96,163.6,1.6001,2.807
Maize,Rabi,Gujarat,2014,175948,604407.15,481.93,87.0,1.8593,3.4351
Wheat,Rabi,Bihar,2015,574084,2036890.44,424.98,158.36,4.6549,3.5481
Maize,Kharif,Himachal Pradesh,1999,298328,1251905.86,426.17,110.76,3.3263,4.1964
Wheat,Rabi,Uttarakhand,2003,148000,917215.65,371.74,227.56,0.3893,6.1974
Maize,Rabi,Haryana,2001,97055,306250.45,1048.41,176.43,6.9114,3.1554
Maize,Rabi,Bihar,2010,339827,1069008.92,831.94,86.45,3.7159,3.1457
Maize,Rabi,West Bengal,2008,113239,376023.12,962.99,127.35,5.8757,3.3206
Maize,Rabi,Bihar,1998,260709,708888.02,1000.38,132.68,4.81,2.7191
Maize,Rabi,Himachal Pradesh,2002,708953,2970290.97,704.92,127.69,4.9956,4.1897
Wheat,Rabi,Jharkhand,1999,1616296,5383605.74,393.42,216.33,0.5488,3.3308
Wheat,Rabi,Gujarat,2006,1159144,4175646.06,447.34,169.63,2.5626,3.6024
Maize,Kharif,Odisha,2011,512157,1705327.18,979.26,136.53,5.602,3.3297
Maize,Kharif,Uttarakhand,2012,126628,370437.28,442.02,121.04,3.5431,2.9254
Rice,Kharif,Rajasthan,1999,2712480,7424085.01,1451.4,196.29,4.0251,2.737
Maize,Rabi,Haryana,2004,727040,2179944.07,1127.53,167.04,2.3923,2.9984
Maize,Kharif,Gujarat,2008,161826,488853.37,884.41,89.52,6.3506,3.0209
Maize,Kharif,Jharkhand,2020,90321,268867.3,678.67,173.3,6.6138,2.9768
Wheat,Rabi,Bihar,2014,1931162,6721222.8,671.12,123.41,5.8299,3.4804
Maize,Rabi,Gujarat,2005,224869,705299.73,599.63,77.46,2.0939,3.1365
Wheat,Rabi,Uttar Pradesh,2017,2171691,12733056.61,541.72,115.62,0.5874,5.8632
Maize,Kharif,Uttar Pradesh,2013,650533,2573786.92,576.46,158.49,3.213,3.9564
Wheat,Rabi,Jharkhand,2008,2269127,8423845.07,378.57,210.03,3.8717,3.7124
Rice,Kharif,Uttarakhand,2017,126045,428854.14,1087.03,111.3,5.577,3.4024
Maize,Kharif,Uttar Pradesh,2003,714922,2559770.01,1117.22,106.49,5.387,3.5805
Maize,Rabi,Uttar Pradesh,2005,556356,2089425.02,599.32,179.35,3.9881,3.7556
Rice,Kharif,Assam,2011,173662,470359.71,1412.35,185.62,3.6053,2.7085
Maize,Rabi,Rajasthan,2002,192143,698802.19,1194.28,113.24,1.2405,3.6369
Maize,Rabi,Jammu and Kashmir,2020,669323,2293423.73,980.33,79.95,4.9658,3.4265
Wheat,Rabi,Haryana,2004,1805862,12874041.85,366.39,120.89,1.4777,7.129
Maize,Kharif,Punjab,2013,577401,1972421.0,509.86,162.01,5.6345,3.416
Maize,Kharif,Odisha,2001,595996,1864969.7,432.96,165.02,0.9361,3.1292
Maize,Kharif,Haryana,2008,511990,1624078.46,1151.34,74.45,5.4257,3.1721
Rice,Kharif,Himachal Pradesh,2003,2724827,7449935.83,1333.4,153.98,4.124,2.7341
Rice,Kharif,Jammu and Kashmir,2006,1612129,3836201.24,816.19,178.09,2.7729,2.3796
Maize,Kharif,Punjab,2005,25478,72248.6,1191.52,156.01,2.7701,2.8357
Rice,Kharif,West Bengal,2018,431786,1376075.06,891.72,91.92,1.7612,3.1869
Maize,Rabi,Rajasthan,2005,254556,1099305.65,677.45,105.15,4.5988,4.3185
Maize,Rabi,Telangana,2008,366083,1825542.62,1019.36,113.79,1.3113,4.9867
Rice,Kharif,Uttar Pradesh,2003,1606411,4654014.39,873.97,166.95,1.9286,2.8972
Maize,Rabi,Uttarakhand,2018,444033,1617364.21,662.9,81.53,6.1823,3.6424
Rice,Kharif,Uttar Pradesh,2010,2140423,6481433.07,1598.37,135.64,6.4357,3.0281
Wheat,Rabi,Gujarat,2012,1374734,5792954.72,522.04,223.3,1.3042,4.2139
Rice,Kharif,Punjab,2014,279896,1734829.82,1211.79,189.2,3.2299,6.1981
Wheat,Rabi,Himachal Pradesh,2020,308778,1869555.1,463.52,105.82,5.5531,6.0547
Rice,Kharif,Jammu and Kashmir,2009,2875693,8613802.56,1399.03,121.04,4.6591,2.9954
Maize,Kharif,Gujarat,2010,141708,445896.98,1009.63,122.9,1.7075,3.1466
Wheat,Rabi,Madhya Pradesh,2002,586578,2150559.88,302.07,182.55,5.5959,3.6663
Rice,Kharif,Odisha,2015,2877627,7739841.62,1193.32,92.62,3.7854,2.6897
Maize,Rabi,Tamil Nadu,2017,120806,378964.12,985.59,162.57,2.1144,3.137
Maize,Kharif,Jharkhand,2001,204055,481239.89,1010.5,124.81,3.7972,2.3584
Rice,Kharif,Andhra Pradesh,2019,1869145,10225271.11,1502.71,87.85,1.5832,5.4706
Maize,Kharif,Bihar,2006,352411,1032304.8,697.35,134.41,3.4608,2.9293
Maize,Kharif,Jammu and Kashmir,2016,202364,691628.48,1087.21,93.02,4.6809,3.4177
Wheat,Rabi,Jammu and Kashmir,2009,794974,3942543.49,519.43,135.57,2.9867,4.9593
Wheat,Rabi,Uttarakhand,2005,1666744,11061078.94,498.45,157.41,2.732,6.6363
Wheat,Rabi,Madhya Pradesh,2005,739254,3102908.21,312.43,160.66,2.8775,4.1974
Rice,Kharif,Madhya Pradesh,2003,2019185,5571650.73,1409.3,118.43,2.0235,2.7594
Maize,Kharif,Andhra Pradesh,2020,695472,4089883.27,1109.32,134.47,5.244,5.8807
Rice,Kharif,Uttar Pradesh,2002,1446873,4318626.54,1443.17,142.32,1.6171,2.9848
Maize,Kharif,Punjab,2016,42604,168380.92,776.2,87.99,3.4831,3.9522
Maize,Rabi,Jharkhand,2019,712835,2338798.82,825.84,118.63,0.7152,3.281
Maize,Rabi,Maharashtra,2014,542422,1854650.08,986.37,71.93,2.1129,3.4192
Maize,Kharif,Jharkhand,2016,743594,2189538.59,638.12,134.59,3.403,2.9445
Maize,Rabi,Jharkhand,2009,247446,700382.68,1037.41,130.3,1.6446,2.8304
Wheat,Rabi,Gujarat,1999,1359632,4423288.1,647.84,247.12,1.6612,3.2533
Maize,Rabi,Telangana,2019,181037,953370.81,979.21,74.84,3.7825,5.2662
Maize,Rabi,Maharashtra,2018,732044,2552615.99,452.02,84.03,6.4662,3.487
Wheat,Rabi,Uttarakhand,2011,606596,4431603.93,485.43,196.92,0.8155,7.3057
Wheat,Rabi,Jharkhand,2005,1400621,5245263.79,349.01,241.34,0.5886,3.745
Rice,Kharif,Jharkhand,1997,1369854,2379568.42,970.1,139.91,7.1351,1.7371
Maize,Rabi,Haryana,2013,109823,374290.33,1032.84,139.54,2.8825,3.4081
Maize,Kharif,Odisha,2020,552707,2125969.1,1033.43,111.32,3.8325,3.8465
Maize,Rabi,Odisha,2018,491758,1724580.7,1036.13,166.79,4.4869,3.507
Maize,Rabi,Chhattisgarh,2006,242256,772273.76,954.82,107.88,1.2509,3.1878
Wheat,Rabi,Bihar,2018,335155,1246160.98,515.46,233.89,4.9515,3.7182
Maize,Kharif,Gujarat,2000,636977,1881693.95,1098.62,106.67,4.2461,2.9541
Maize,Kharif,West Bengal,2006,397408,1255168.06,849.17,135.31,2.2657,3.1584
Maize,Rabi,Odisha,2007,713340,2333215.39,991.59,165.13,5.2999,3.2708
Rice,Kharif,Maharashtra,2013,729334,1920546.77,1424.59,113.27,0.9679,2.6333
Maize,Rabi,West Bengal,2007,190810,589490.48,953.45,89.1,5.7806,3.0894
Maize,Rabi,Andhra Pradesh,2011,622466,3340494.79,927.58,119.91,3.3164,5.3665
Maize,Rabi,West Bengal,2019,220893,796028.26,586.43,142.55,0.8619,3.6037
Wheat,Rabi,Rajasthan,2017,37630,148202.89,398.13,221.37,2.2455,3.9384
Wheat,Rabi,Gujarat,1998,1964228,6743995.54,466.31,131.03,2.6948,3.4334
Maize,Rabi,Uttar Pradesh,2014,639470,2624702.25,809.24,76.17,4.8007,4.1045
Rice,Kharif,Uttarakhand,2020,982997,3296264.87,1286.45,125.78,2.9123,3.3533
Rice,Kharif,Gujarat,2005,301218,853246.35,1578.05,97.08,2.5987,2.8327
Maize,Rabi,Andhra Pradesh,2016,718702,4123648.9,497.59,111.09,6.5324,5.7376
Maize,Rabi,Uttarakhand,2003,728975,2327918.47,800.37,107.95,0.5621,3.1934
Wheat,Rabi,Jharkhand,1998,2459806,7529442.97,678.42,102.93,5.3197,3.061
Rice,Kharif,Assam,2014,2912207,7444528.26,1233.15,95.84,3.1003,2.5563
Maize,Kharif,Andhra Pradesh,2003,328241,1684874.26,755.79,153.75,1.0747,5.133
Rice,Kharif,Madhya Pradesh,2012,1210352,3863539.54,1225.82,172.73,5.5334,3.1921
Maize,Rabi,Telangana,1999,481805,2132195.02,473.34,93.33,4.6207,4.4254
Rice,Kharif,Haryana,2002,1305079,5698254.04,1274.98,140.88,4.3229,4.3662
Rice,Kharif,Karnataka,2001,382296,1062905.82,815.2,105.88,1.6214,2.7803
Rice,Kharif,Gujarat,1999,1762736,4305361.18,1066.65,160.42,6.933,2.4424
Wheat,Rabi,Haryana,2020,2028176,17576021.17,332.01,245.88,2.57,8.6659
Rice,Kharif,Karnataka,1997,1492654,3073846.32,1282.98,176.86,5.973,2.0593
Maize,Kharif,Maharashtra,2004,110345,322647.62,512.01,83.55,5.2181,2.924
Maize,Rabi,Odisha,1999,143579,394467.6,1029.21,166.41,2.8147,2.7474
Rice,Kharif,Tamil Nadu,1999,2437427,9808394.59,1536.95,132.7,4.0152,4.0241
Rice,Kharif,Jharkhand,2004,1202816,2293719.03,979.87,114.64,6.3556,1.907
Maize,Kharif,Bihar,2011,292748,900489.37,663.37,115.51,1.785,3.076
Maize,Rabi,Bihar,2019,50785,165299.22,591.76,165.76,2.2069,3.2549
Maize,Kharif,Gujarat,2009,345998,1183805.74,1091.39,121.39,6.1479,3.4214
Rice,Kharif,Assam,2005,2230028,5092435.94,1130.45,187.47,3.9384,2.2836
Maize,Rabi,Haryana,2006,617879,1893363.21,481.85,126.27,4.7715,3.0643
Maize,Rabi,Odisha,2012,313929,1020447.36,631.37,73.89,6.4909,3.2506
Wheat,Rabi,Maharashtra,2002,1716693,5770053.9,561.16,232.1,3.0115,3.3611
Maize,Kharif,Chhattisgarh,2010,627725,1997418.45,924.33,154.66,1.5171,3.182
Rice,Kharif,Himachal Pradesh,2011,159406,470815.86,1087.41,162.58,4.0745,2.9536
Rice,Kharif,Assam,2015,564901,1254829.42,986.3,130.96,4.2433,2.2213
Wheat,Rabi,Madhya Pradesh,2004,1481426,6070874.45,512.91,189.53,1.2598,4.098
Rice,Kharif,Jammu and Kashmir,2003,2297048,6135322.77,1581.98,82.06,6.5987,2.671
Maize,Kharif,Tamil Nadu,2003,376106,1176938.81,843.38,135.66,5.5773,3.1293
Maize,Kharif,Himachal Pradesh,2000,759540,3084078.13,590.02,118.86,2.2805,4.0605
Rice,Kharif,Rajasthan,2000,2796065,7069269.04,1320.73,172.28,5.9063,2.5283
Maize,Kharif,Uttarakhand,2018,495106,1960968.73,879.81,106.43,4.2175,3.9607
Maize,Kharif,Bihar,1997,444589,1119202.8,925.9,132.17,2.488,2.5174
Rice,Kharif,Rajasthan,2020,208992,714389.57,990.45,167.04,7.9141,3.4183
Maize,Rabi,Gujarat,1999,589384,1439113.33,692.62,156.98,0.4919,2.4417
Rice,Kharif,Gujarat,2015,757676,2024304.77,851.77,197.02,3.0397,2.6717
Maize,Kharif,Tamil Nadu,2006,634180,2168616.42,723.28,105.15,1.3235,3.4196
Maize,Rabi,Gujarat,2004,46761,142812.67,1138.06,174.35,3.0266,3.0541
Maize,Kharif,Rajasthan,1997,283082,1008664.31,505.97,108.39,0.854,3.5632
Maize,Kharif,West Bengal,2009,319608,1074944.21,600.78,164.44,0.7149,3.3633
Rice,Kharif,Jharkhand,2002,1262171,2310453.22,1363.92,162.83,4.1675,1.8305
Maize,Kharif,Assam,2015,764414,2602413.0,1074.2,95.96,4.1684,3.4045
Rice,Kharif,Chhattisgarh,2004,1911649,5358057.37,1190.96,89.92,0.7315,2.8028
Maize,Rabi,Gujarat,2010,593426,2088161.76,892.8,150.92,2.0252,3.5188
Rice,Kharif,Haryana,2011,2270528,12196651.5,1043.94,138.79,6.0829,5.3717
Rice,Kharif,Odisha,2005,90243,222879.93,1560.79,80.18,5.4298,2.4698
Rice,Kharif,Himachal Pradesh,2017,2161743,7451460.2,825.58,87.64,3.7297,3.447
Maize,Kharif,Odisha,2017,556818,2141877.61,722.2,131.49,5.5402,3.8466
Maize,Kharif,Punjab,2018,720531,2685850.49,882.38,89.31,4.2819,3.7276
Rice,Kharif,Rajasthan,2010,1093216,3466537.28,926.16,90.97,5.1398,3.171
Wheat,Rabi,Gujarat,2002,744274,2617101.76,467.15,225.64,5.6234,3.5163
Maize,Rabi,Gujarat,2015,709299,2465530.39,925.94,79.93,6.6249,3.476
Maize,Rabi,Haryana,2009,666286,2256314.94,813.61,149.26,5.5832,3.3864
Rice,Kharif,Bihar,2011,917202,2664990.3,1321.98,149.72,5.6304,2.9056
Maize,Kharif,Tamil Nadu,2010,294362,936795.32,1135.29,126.24,4.1664,3.1825
Rice,Kharif,Jharkhand,2012,2003267,4499604.51,1254.23,91.15,6.5176,2.2461
Maize,Kharif,Karnataka,2004,333572,1815065.37,694.05,102.92,2.926,5.4413
Maize,Kharif,Telangana,2008,589646,2953582.58,785.97,110.72,4.0624,5.0091
Maize,Kharif,Maharashtra,2010,87289,300209.42,1024.1,171.41,2.607,3.4393
Wheat,Rabi,Bihar,1997,2234464,6569649.35,667.4,189.84,3.0851,2.9401
Maize,Kharif,Haryana,2019,202487,752652.67,779.82,106.17,6.7488,3.717
Rice,Kharif,Andhra Pradesh,2016,2575457,12880683.46,1383.39,145.73,2.9508,5.0013
Maize,Rabi,Karnataka,2015,663342,3940592.26,962.67,164.9,4.2072,5.9405
Rice,Kharif,Jammu and Kashmir,2016,1763474,5310454.42,1433.97,83.45,7.821,3.0114
Maize,Kharif,Chhattisgarh,2012,513473,1954051.37,544.65,128.01,0.6184,3.8056
Maize,Rabi,West Bengal,2006,357618,1031938.67,1190.69,140.47,6.0858,2.8856
Maize,Kharif,Uttar Pradesh,1999,156157,433741.67,727.98,142.03,1.4188,2.7776
Wheat,Rabi,Rajasthan,2019,2160197,8717444.49,695.71,242.72,5.2332,4.0355
Wheat,Rabi,Punjab,2012,2140495,17979818.44,341.17,222.63,4.8415,8.3998
Maize,Rabi,Gujarat,2011,439773,1402954.83,731.23,106.72,4.0987,3.1902
Maize,Rabi,Telangana,2011,289685,1434068.6,731.1,124.68,1.9684,4.9504
Wheat,Rabi,Rajasthan,2011,1040631,3779717.65,507.48,159.34,4.4905,3.6321
Maize,Kharif,Chhattisgarh,2007,201059,650163.91,1169.98,150.86,1.1877,3.2337
Maize,Kharif,Punjab,2004,611007,1981371.08,504.48,163.77,5.6028,3.2428
Maize,Rabi,Chhattisgarh,2012,629473,2064669.91,1147.15,86.96,3.6733,3.28
Wheat,Rabi,Rajasthan,2014,2300700,8386074.53,690.24,149.69,4.3211,3.645
Rice,Kharif,Himachal Pradesh,2016,1257800,3718839.01,1397.15,125.85,3.7348,2.9566
Rice,Kharif,Uttar Pradesh,2016,2698085,9585020.46,1053.75,177.47,5.3332,3.5525
Rice,Kharif,Assam,2020,2234699,5430664.37,1433.42,129.79,6.5953,2.4302
Maize,Rabi,Bihar,2002,77371,217191.1,1188.91,121.93,2.2948,2.8071
Maize,Rabi,Uttar Pradesh,2012,324343,1137956.54,1134.8,173.03,5.1374,3.5085
Rice,Kharif,Andhra Pradesh,2006,305784,1263039.59,1472.64,178.21,3.6397,4.1305
Maize,Rabi,Madhya Pradesh,2007,126011,465540.99,1008.62,131.85,4.2465,3.6944
Maize,Rabi,Chhattisgarh,1998,555121,1343640.13,877.43,177.86,5.8953,2.4204
Maize,Kharif,Jharkhand,2015,448410,1328753.53,574.41,81.75,1.8131,2.9633
Maize,Rabi,Gujarat,2006,171131,519451.62,791.66,153.99,0.9811,3.0354
Maize,Kharif,Telangana,1999,681149,3130913.14,686.94,113.8,1.6527,4.5965
Wheat,Rabi,Gujarat,2001,1488740,5259734.87,545.94,165.24,3.945,3.533
Rice,Kharif,Himachal Pradesh,2005,1949004,5158249.72,1017.56,88.96,2.0203,2.6466
Maize,Rabi,Punjab,2012,313474,1034529.05,449.93,169.12,6.7881,3.3002
Maize,Rabi,Tamil Nadu,2020,181578,669928.52,1053.11,70.17,0.861,3.6895
Maize,Kharif,Karnataka,1998,729161,3403063.11,1064.46,96.71,5.0015,4.6671
Maize,Rabi,Jammu and Kashmir,2009,20440,69363.55,794.86,107.61,2.4564,3.3935
Maize,Rabi,Rajasthan,1998,799993,2780353.92,592.26,122.37,5.0982,3.4755
Rice,Kharif,Maharashtra,2017,2125294,6717399.67,1298.16,157.54,3.8624,3.1607
Maize,Kharif,Maharashtra,2015,766911,2798407.94,901.41,127.45,2.8042,3.6489
Wheat,Rabi,Jammu and Kashmir,2015,1508901,7734837.66,464.77,108.47,1.6921,5.1261
Rice,Kharif,Odisha,2014,325262,827558.51,950.68,186.08,1.1548,2.5443
Maize,Kharif,Odisha,2005,726942,2230743.83,635.61,89.55,0.4119,3.0687
Maize,Rabi,Karnataka,2019,154623,1001188.9,756.59,160.7,4.392,6.475
Maize,Rabi,Odisha,2008,696691,2261477.19,808.64,88.45,4.9249,3.246
Maize,Rabi,Haryana,2017,575871,2197113.72,899.49,138.0,3.3181,3.8153
Rice,Kharif,West Bengal,2010,1094223,3295245.73,1107.84,197.0,2.3537,3.0115
Wheat,Rabi,Punjab,1998,2354302,16003123.12,538.18,242.51,5.3811,6.7974
Maize,Rabi,Jammu and Kashmir,2008,538036,1765507.11,720.45,107.23,4.0338,3.2814
Maize,Kharif,Uttarakhand,2014,242580,791632.99,645.94,93.08,6.8753,3.2634
Rice,Kharif,Rajasthan,2018,1083124,3458820.11,1410.38,158.19,1.4418,3.1934
Maize,Rabi,Odisha,2005,600048,1693255.16,425.91,136.26,6.4789,2.8219
Maize,Kharif,Madhya Pradesh,2003,319313,1199956.23,787.39,78.46,2.0612,3.7579
Rice,Kharif,Odisha,2017,2514819,7116365.31,1527.26,120.7,5.0158,2.8298
Rice,Kharif,Assam,2004,2789173,6646802.54,1195.98,162.16,3.6172,2.3831
Maize,Kharif,Jammu and Kashmir,2005,222005,701652.2,536.67,102.1,0.9408,3.1605
Maize,Rabi,Karnataka,2018,661720,3876793.25,1148.05,162.46,2.0312,5.8587
Wheat,Rabi,Maharashtra,1998,2196489,7360428.28,493.84,135.89,2.8073,3.351
Wheat,Rabi,Haryana,2005,1051105,7371898.18,687.36,159.44,0.579,7.0135
Rice,Kharif,Himachal Pradesh,2001,2057105,4549029.89,1305.39,177.38,0.9733,2.2114
Maize,Kharif,Assam,2005,118282,359455.68,976.33,75.3,3.2923,3.039
Maize,Rabi,Himachal Pradesh,1998,161445,626351.25,1048.91,174.4,0.9622,3.8797
Maize,Rabi,Uttar Pradesh,2006,720338,2445425.28,407.12,170.27,4.6727,3.3948
Wheat,Rabi,Uttar Pradesh,2019,2302824,13202209.43,557.46,217.88,5.5817,5.7331
Rice,Kharif,Rajasthan,2017,600118,1785656.55,1506.54,166.76,3.4278,2.9755
Wheat,Rabi,Gujarat,2005,1869885,6774536.47,623.72,113.8,5.1295,3.623
Maize,Kharif,Madhya Pradesh,1999,315244,1026006.18,1194.15,102.48,6.8544,3.2546
Rice,Kharif,Maharashtra,2006,1933409,5454394.35,938.3,198.12,7.7912,2.8211
Maize,Kharif,Karnataka,2013,105331,608495.59,895.14,164.9,6.9128,5.777
Maize,Kharif,Himachal Pradesh,2004,760777,3422031.84,607.4,110.91,5.3485,4.4981
Maize,Rabi,Jharkhand,2012,775033,2149816.13,1073.47,75.98,2.145,2.7738
Rice,Kharif,Punjab,2013,485818,2851902.39,1348.4,122.18,5.9394,5.8703
Maize,Rabi,Maharashtra,2006,377541,1210820.89,578.66,165.86,3.1751,3.2071
Maize,Rabi,Uttarakhand,2012,563388,1949170.54,586.93,145.19,2.9745,3.4597
Rice,Kharif,Uttarakhand,2002,2062441,5509288.08,1079.04,192.04,6.4655,2.6712
Maize,Rabi,Haryana,2008,250386,820243.03,434.25,92.75,6.391,3.2759
Rice,Kharif,Uttarakhand,2013,2055462,6509441.17,1148.85,181.29,6.357,3.1669
Maize,Kharif,Karnataka,2020,735140,4709874.71,734.27,115.85,2.303,6.4068
Wheat,Rabi,Jharkhand,2016,563310,2305414.36,335.86,206.54,2.7677,4.0926
Rice,Kharif,Gujarat,2017,1798442,5897651.58,1466.46,160.77,6.0094,3.2793
Rice,Kharif,Telangana,2000,2568302,6961207.59,1049.96,92.43,4.3056,2.7104
Maize,Kharif,Bihar,2003,628266,1715094.53,508.9,105.27,6.652,2.7299
Rice,Kharif,Andhra Pradesh,2012,1354350,6678840.8,1545.87,162.45,4.9572,4.9314
Maize,Rabi,Maharashtra,2001,210837,645358.45,908.05,130.59,1.2261,3.0609
Wheat,Rabi,Punjab,1999,2100338,14906766.99,673.06,143.78,4.3208,7.0973
Maize,Kharif,Haryana,2001,520060,1586550.66,560.14,84.93,0.8887,3.0507
Maize,Rabi,West Bengal,1997,475405,1353410.84,512.15,90.18,3.4533,2.8469
Wheat,Rabi,Jharkhand,2012,1712022,6716943.41,327.84,116.31,4.9402,3.9234
Rice,Kharif,Tamil Nadu,1997,1461779,5522492.53,881.77,125.59,3.1923,3.7779
Maize,Rabi,Himachal Pradesh,2010,24281,119862.02,701.29,169.66,3.8769,4.9365
Rice,Kharif,Chhattisgarh,2016,676004,2251740.52,871.25,124.15,7.6043,3.331
Rice,Kharif,Odisha,2010,226132,614400.0,1264.86,162.89,5.663,2.717
Rice,Kharif,Assam,2016,757813,1916679.36,839.83,154.16,5.0029,2.5292
Maize,Rabi,Himachal Pradesh,2007,312835,1354984.04,574.76,152.79,3.9013,4.3313
Wheat,Rabi,Himachal Pradesh,2007,1994466,10870506.65,586.66,154.49,2.8794,5.4503
Wheat,Rabi,Maharashtra,2004,1237398,4773317.23,415.73,140.1,5.1907,3.8575
Rice,Kharif,Bihar,2001,2146435,5405818.53,1277.39,81.97,4.3653,2.5185
Rice,Kharif,Jammu and Kashmir,2018,2384042,7738176.11,1599.06,185.39,2.0814,3.2458
Wheat,Rabi,Uttarakhand,1998,1485383,8729554.86,419.45,158.5,5.3824,5.877
Wheat,Rabi,Madhya Pradesh,2011,1605404,7168285.54,588.08,159.12,5.6531,4.4651
Maize,Kharif,Chhattisgarh,2016,272240,991448.04,868.45,154.55,0.5074,3.6418
Maize,Kharif,Maharashtra,2001,748788,2189502.61,580.38,174.22,3.8247,2.9241
Maize,Kharif,Bihar,2013,126703,364911.61,456.69,95.88,3.3358,2.8801
Maize,Kharif,Himachal Pradesh,2001,117718,499389.26,744.74,167.07,5.2016,4.2423
Maize,Kharif,West Bengal,2016,538450,1978979.76,1058.06,131.96,4.7767,3.6753
Wheat,Rabi,Punjab,2010,275674,2240866.54,563.32,180.84,2.5087,8.1287
Rice,Kharif,Assam,2019,2499400,7068502.63,1319.79,104.86,7.2116,2.8281
Maize,Kharif,Telangana,2004,290192,1337899.85,819.08,98.92,6.8353,4.6104
Rice,Kharif,Karnataka,2019,1851622,5824257.26,1581.59,109.35,0.8465,3.1455
Maize,Kharif,Jammu and Kashmir,1999,27394,77059.39,440.46,106.69,6.9262,2.813
